                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2346,                 2.6057,                 1.4726,                0.90378,                0.96939,                0.94497,                0.69822,                0.93015,                 1.0996,                  1.124,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.1045,                 1.1024,                 1.2787,                0.94166,                0.98826,                0.97412,                0.72137,                0.96034,                0.78991,                 1.1636,             0.00046429,             0.00046429,             0.00046429
                      3,                 1.1286,                 1.0817,                 1.3105,                0.57786,                0.78571,                0.60518,                0.43095,                 1.0196,                 3.1266,                 1.1603,             0.00067539,             0.00067539,             0.00067539
                      4,                 1.1286,                 1.0181,                 1.2914,                0.92799,                0.94898,                 0.9371,                0.65631,                 1.0161,                0.77217,                 1.1643,             0.00086669,             0.00086669,             0.00086669
                      5,                 1.1111,                 0.9459,                 1.2787,                0.25864,                0.67994,                0.22118,                 0.1404,                 1.2517,                 5.2496,                 1.3089,              0.0010382,              0.0010382,              0.0010382
                      6,                 1.1216,                0.98609,                 1.2929,                0.48051,                0.60204,                0.41103,                0.28375,                 1.1879,                 4.4147,                 1.2751,              0.0011899,              0.0011899,              0.0011899
                      7,                 1.1067,                0.99043,                 1.2931,                0.94702,                0.78571,                0.92191,                0.62388,                 1.1734,                0.82125,                 1.2558,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.0612,                0.79403,                  1.218,                0.91447,                0.93878,                0.92747,                0.67877,                0.97064,                0.74212,                 1.1521,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.0509,                0.78606,                 1.2309,                0.93053,                0.96939,                0.95189,                0.71107,                0.98534,                0.64694,                 1.1364,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.0727,                0.92964,                 1.3019,                0.90582,                0.98141,                0.95951,                0.70892,                  0.954,                0.62449,                 1.1263,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.0642,                0.85833,                 1.2625,                0.95084,                0.97959,                0.97893,                0.76306,                0.90996,                 0.5647,                 1.0869,              0.0010069,              0.0010069,              0.0010069
                     12,                  1.055,                0.79652,                 1.2375,                0.94912,                0.97959,                0.97123,                0.72802,                0.92908,                0.55235,                 1.0889,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.1023,                0.90421,                 1.3328,                0.95781,                0.96939,                 0.9717,                0.74264,                0.93972,                 0.4991,                 1.1042,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.0551,                0.80694,                 1.2745,                0.92235,                0.96939,                  0.967,                 0.7349,                0.91372,                0.63675,                 1.1004,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.0355,                0.81224,                 1.2536,                0.97489,                0.97959,                0.97334,                0.73017,                0.93505,                0.64375,                 1.1068,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.0168,                0.82404,                 1.2609,                0.96239,                0.93878,                0.96492,                0.69232,                  1.006,                0.66521,                 1.1537,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.0441,                  0.842,                 1.3155,                0.98723,                0.96939,                0.96764,                0.73756,                0.94498,                0.51952,                  1.102,             0.00061079,             0.00061079,             0.00061079
                     18,                0.99973,                0.74089,                 1.2537,                0.97968,                0.98412,                0.98527,                0.75268,                0.91352,                0.45207,                 1.0844,             0.00054478,             0.00054478,             0.00054478
                     19,                0.99654,                0.72984,                 1.2863,                0.97803,                 0.9898,                0.98842,                0.74745,                0.95867,                0.44825,                 1.0987,             0.00047876,             0.00047876,             0.00047876
                     20,                0.98908,                0.71724,                 1.2601,                0.95988,                      1,                0.99204,                0.75332,                0.88928,                0.39081,                 1.0782,             0.00041275,             0.00041275,             0.00041275
                     21,                  1.016,                0.82856,                 1.3101,                0.96011,                      1,                0.99122,                0.75827,                0.89741,                0.37953,                 1.0636,             0.00034674,             0.00034674,             0.00034674
                     22,                0.96739,                0.71368,                 1.2367,                0.97968,                 0.9839,                0.98936,                0.77375,                0.87691,                0.37887,                 1.0631,             0.00028072,             0.00028072,             0.00028072
                     23,                0.95517,                0.66703,                 1.2201,                0.96983,                0.97959,                0.98623,                0.77787,                0.88412,                0.39662,                 1.0608,             0.00021471,             0.00021471,             0.00021471
                     24,                0.93776,                0.66871,                 1.2266,                0.97963,                0.98138,                0.98825,                0.77889,                0.89634,                0.40199,                 1.0647,              0.0001487,              0.0001487,              0.0001487
                     25,                0.93253,                0.66368,                 1.2112,                0.96442,                 0.9898,                0.98658,                0.77713,                0.87957,                0.40725,                 1.0615,             8.2683e-05,             8.2683e-05,             8.2683e-05
